laptop_names,laptop_ids,laptop_moneys,laptop_chips,laptop_memories,laptop_storages,laptop_video_cards
"Laptop MSI Gaming GF63 Thin 12UC-1006VN i5 12450H/16GB/512GB/15.6""FHD/Nvidia RTX 3050 4GB/Win11",(No.00904737),18.890.000,Intel Core i5 12450H,16  DDR4 3200 MHz,SSD 512,NVIDIA GeForce RTX 3050 4GB; Intel UHD Graphics
Laptop VAIO FE14 i5 1235U/8GB/512GB/14'' FHD/Intel UHD/Win11/VWNC51427-BK,(No.00884028),16.990.000,Intel Core i5 1235U,8  (2 thanh 4 ) LPDDR4 4266 MHz,SSD 512,Intel UHD Graphics
"Laptop Lenovo Yoga 7 14ACN6 R7 5800U/8GB/512GB/14.0""FHD/Win 10",(No.00780897),16.990.000,AMD Ryzen 7 5800U,8  LPDDR4X 4266 MHz,SSD 512,AMD Radeon Graphics
"Laptop MSI Modern 15 B13M-438VN i5 1335U/8GB/512GB/15.6""FHD/Win11",(No.00866553),18.090.000,Intel Core i5 1335U,8  DDR4 3200 MHz,SSD 512,Intel UHD Graphics
"Laptop MSI Gaming GF63 12UCX-841VN i5 12450H/8GB/512GB/15.6"" FHD/RTX2050_4GB/Win11",(No.00902058),16.490.000,Intel Core i5 12450H,8  DDR4,SSD 512,NVIDIA Geforce RTX 2050 4GB
"Laptop MSI Modern 15 B7M-238VN R7 7730U/16GB/512GB/15.6""FHD/Win 11",(No.00878151),15.490.000,AMD Ryzen 7 7730U,16  (1 thanh 16 ) DDR4 3200 MHz,SSD 512,AMD Radeon Graphics
"Laptop HP Pavilion 15 eg2037TX i5 1235U/8GB/256GB/15.6""FHD/GeForce MX550 2GB/Win 11",(No.00825043),14.990.000,Intel Core i5 1235U,8  (2 thanh 4 ) DDR4 3200 MHz,SSD 256,NVIDIA GeForce MX550 2GB; Intel Iris Xe Graphics
"Laptop HP 15s fq5161TU i5 1235U/8GB/512GB/15.6""FHD/Win 11",(No.00851503),14.690.000,Intel Core i5 1235U,8  (2 thanh 4 ) DDR4 3200 MHz,SSD 512,Intel Iris Xe Graphics
"Laptop HP Pavilion 15 eg2058TU i5 1240P/8GB/256GB/15.6""FHD/Win 11",(No.00825038),14.490.000,Intel Core i5 1240P,8  (2 thanh 4 ) DDR4 3200 MHz,SSD 256,Intel Iris Xe Graphics
"Laptop MSI Modern 15 B12MO-628VN i5 1235U/16GB/512GB/15.6""FHD/Win11",(No.00904860),13.990.000,Intel Core i5 1235U,16  DDR4 3200 MHz,SSD 512,Intel Iris Xe Graphics
"Laptop HP Pavilion 14 dv2035TU i5 1235U/8GB/256GB/14""FHD/Win 11",(No.00825047),13.990.000,Intel Core i5 1235U,8  (2 thanh 4 ) DDR4 3200 MHz,SSD 256,Intel Iris Xe Graphics
"Laptop HP Pavilion 14 dv2036TU i5 1235U/8GB/256GB/14""FHD/Win 11",(No.00820893),13.990.000,Intel Core i5 1235U,8  (2 thanh 4 ) DDR4 3200 MHz,SSD 256,Intel Iris Xe Graphics
"Laptop HP 15s-fq5081TU i5-1235U/8GB/256GB/15.6""HD/Win 11",(No.00820895),15.890.000,Intel Core i5 1235U,8  (2 thanh 4 ) DDR4 3200 MHz,SSD 256,Intel Iris Xe Graphics
"Laptop Lenovo V14 G3 IAP i5-1235U/8GB/512GB/14.0""FHD/Win 11",(No.00901909),11.490.000,Intel Core i5 1235U,8  (1 thanh 8 ) DDR4 3200 MHz,SSD 512,Intel Iris Xe Graphics
"Laptop Lenovo IdeaPad 1 15ALC7 R5 5500U/16GB/512GB/15.6"" FHD/Win11",(No.00901952),11.290.000,AMD Ryzen 5 5500U,16  (2 thanh 8 ) DDR4 3200 MHz,SSD 512,AMD Radeon 610 2GB; AMD Radeon Graphics
